"benchmark","logging_algorithm","database","VFS","phase","scale_factor","value","unit","test-specific-info","threads","bloom_filter"
______________________________________________________
			New test run
______________________________________________________
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.60831","s","q4.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.57804","s","q4.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.470071","s","q4.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.552989","s","q1.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.363069","s","q1.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.352179","s","q1.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.430809","s","q2.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.34836","s","q2.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.322237","s","q2.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.839525","s","q3.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.321236","s","q3.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.29351","s","q3.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.291332","s","q3.4","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.612484","s","q4.1","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.577361","s","q4.2","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.471469","s","q4.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.532748","s","q1.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.444432","s","q1.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.401976","s","q1.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.26734","s","q2.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.14209","s","q2.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.01015","s","q2.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","2.0037","s","q3.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.38304","s","q3.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.35579","s","q3.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.35352","s","q3.4","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.99652","s","q4.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.3106","s","q4.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.25933","s","q4.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.534936","s","q1.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.446143","s","q1.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.404245","s","q1.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.12812","s","q2.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.03376","s","q2.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","3.86085","s","q2.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.95462","s","q3.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.35483","s","q3.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.36997","s","q3.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.3557","s","q3.4","1","0"
